,SibSp,Parch,EFare,Pclass_2,Pclass_3,Sex_male,ETicket_B,ETicket_C,ETicket_D,ETicket_E,ECabin_B,ECabin_C,ECabin_D,ECabin_E,ECabin_F,ECabin_n,ETitle_Miss,ETitle_Mr,ETitle_Mrs,ETitle_Rare,ETitle_Rev,Embarked_Q,Embarked_S
0,1,0,2.11021320035,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0,4.28059312046,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,0,0,2.18885632767,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
3,1,0,3.99083418585,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5,0,0,2.2468926629,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,0,0,3.9676942028,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,3,1,3.09444574649,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,0,2,2.49595373872,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
9,1,0,3.43626847138,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,1,1,2.87356463958,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
11,0,0,3.3160025356,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
12,0,0,2.20276475771,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
13,1,5,3.47429293673,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
14,0,0,2.18089192272,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
15,0,0,2.83321334406,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
16,4,1,3.40535539181,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17,0,0,2.63905732962,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
18,1,0,2.94443897917,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
19,0,0,2.10717829665,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,0,0,3.295836866,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
21,0,0,2.63905732962,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
22,0,0,2.20046376993,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
23,0,0,3.59731226059,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,3,1,3.09444574649,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
25,1,5,3.47777254589,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
26,0,0,2.10717829665,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27,3,2,5.57594910315,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
28,0,0,2.18371146286,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
29,0,0,2.18557925524,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
30,0,0,3.35762159895,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
31,1,0,4.99396918279,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
32,0,0,2.16905370037,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
33,0,0,2.44234703537,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
34,1,0,4.42089632469,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
35,1,0,3.97029191355,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
36,0,0,2.10768880462,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,0,0,2.20276475771,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
38,2,0,2.94443897917,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
39,1,0,2.50484815633,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
40,1,0,2.34899146581,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
41,1,0,3.09104245336,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
42,0,0,2.18557925524,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
43,1,2,3.75136587113,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
44,0,0,2.18371146286,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
45,0,0,2.20276475771,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
46,1,0,2.80336038091,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
47,0,0,2.16905370037,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
48,2,0,3.12144820487,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
49,1,0,2.93385686984,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
50,4,1,3.70592091997,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
51,0,0,2.17475172148,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
52,1,0,4.35323099115,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
53,1,0,3.295836866,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
54,0,1,4.14280451315,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
55,0,0,3.59731226059,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
56,0,0,2.44234703537,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
57,0,0,2.10768880462,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
58,1,2,3.35863776724,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
59,5,2,3.86911550442,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,0,0,2.10768880462,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
61,0,0,4.39444915467,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
62,1,0,4.4364556326,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
63,3,2,3.36384159512,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
64,0,0,3.35762159895,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
65,1,1,2.78783441383,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,0,0,2.44234703537,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
67,0,0,2.21466057194,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
68,4,2,2.18885632767,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
69,2,0,2.26825241391,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
70,0,0,2.44234703537,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
71,5,2,3.86911550442,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
72,0,0,4.31079912539,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
73,1,0,2.73788081106,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,0,0,4.05171190166,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
75,0,0,2.15755932094,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
76,0,0,2.18557925524,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
77,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
78,0,2,3.40119738166,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
79,0,0,2.6008361168,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
80,0,0,2.30258509299,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
81,0,0,2.35137525716,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
82,0,0,2.17333025714,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
83,0,0,3.87328217711,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
84,0,0,2.44234703537,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
85,3,0,2.8243506568,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
86,1,3,3.56600535596,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
87,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
88,3,2,5.57594910315,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
89,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
90,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
91,0,0,2.18089192272,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
92,1,0,4.12995298969,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
93,1,2,3.07153523697,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
94,0,0,2.11021320035,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
95,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
96,0,0,3.57386695198,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,0,1,4.16446590785,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
98,0,1,3.17805383035,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
99,1,0,3.295836866,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
100,0,0,2.18557925524,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
101,0,0,2.18557925524,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
102,0,1,4.36038794785,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
103,0,0,2.26739305383,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
104,2,0,2.18885632767,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
105,0,0,2.18557925524,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
106,0,0,2.15755932094,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
107,0,0,2.17190676935,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
108,0,0,2.18557925524,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
109,1,0,3.22485789655,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
110,0,0,3.97029191355,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
111,1,0,2.73788081106,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
112,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
113,1,0,2.38185827389,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
114,0,0,2.73814607592,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
115,0,0,2.18885632767,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
116,0,0,2.16905370037,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
117,1,0,3.09104245336,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
118,0,1,5.51552654425,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
119,4,2,3.47429293673,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
120,2,0,4.31079912539,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
121,0,0,2.20276475771,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
122,1,0,3.43626847138,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
123,0,0,2.63905732962,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
124,0,1,4.36038794785,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
125,1,0,2.50484815633,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126,0,0,2.16905370037,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
127,0,0,2.09699900342,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
128,1,1,3.15095238134,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
129,0,0,2.07631164867,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
130,0,0,2.18557925524,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
131,0,0,2.08567209143,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
132,1,0,2.74084002393,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
133,1,0,3.295836866,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
134,0,0,2.63905732962,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
135,0,0,2.77544713309,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
136,0,2,3.3062747934,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
137,1,0,3.99083418585,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
138,0,0,2.32402363635,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
139,0,0,4.38452351487,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
140,0,2,2.78783441383,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
141,0,0,2.16905370037,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
142,1,0,2.8243506568,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
143,0,0,2.04769284337,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
144,0,0,2.52572864431,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
145,1,1,3.6309854757,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
146,0,0,2.17427433483,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
147,2,2,3.56600535596,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
148,0,2,3.295836866,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
149,0,0,2.63905732962,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
150,0,0,2.60453982473,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
151,1,0,4.21360798305,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
152,0,0,2.20276475771,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
153,0,2,2.74084002393,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
154,0,0,2.11776040598,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
155,0,1,4.13323188647,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
156,0,0,2.1671433053,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
157,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
158,0,0,2.26825241391,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
159,8,2,4.2563216783,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
160,0,1,2.83907846351,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
161,0,0,2.81839825827,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
162,0,0,2.17190676935,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
163,0,0,2.26825241391,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
164,4,1,3.70592091997,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
165,0,2,3.06921505031,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
166,0,1,4.02535169074,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
167,1,4,3.36384159512,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
168,0,0,3.29305522304,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
169,0,0,4.05171190166,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
170,0,0,3.54095932404,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
171,4,1,3.40535539181,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
172,1,1,2.49595373872,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
173,0,0,2.18885632767,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
174,0,0,3.45618417999,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,1,1,2.18089192272,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
176,3,1,3.27588733903,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
177,0,0,3.39156783269,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
178,0,0,2.63905732962,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
179,0,0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
180,8,2,4.2563216783,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
181,0,0,2.77570884958,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
182,4,2,3.47777254589,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
183,2,1,3.68887945411,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
184,0,2,3.13658058214,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
185,0,0,3.93182563272,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
186,1,0,2.80336038091,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
187,0,0,3.3160025356,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
188,1,1,2.80336038091,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
189,0,0,2.18557925524,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
190,0,0,2.63905732962,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
191,0,0,2.63905732962,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
192,1,0,2.18089192272,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
193,1,1,3.295836866,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
194,0,0,3.35762159895,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
195,0,0,4.99396918279,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
196,0,0,2.16905370037,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
197,0,1,2.241156398,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
198,0,0,2.16905370037,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
199,0,0,2.63905732962,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
200,0,0,2.35137525716,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
201,8,2,4.2563216783,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
202,0,0,2.01434286368,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
203,0,0,2.10717829665,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
204,0,0,2.20276475771,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
205,0,1,2.43908083758,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
206,1,0,2.8243506568,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
207,0,0,2.98505042521,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
208,0,0,2.16905370037,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
209,0,0,3.4657359028,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210,0,0,2.08567209143,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
211,0,0,3.09104245336,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
212,0,0,2.11021320035,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
213,0,0,2.63905732962,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
214,1,0,2.16905370037,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
215,1,0,4.73860782422,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
216,0,0,2.18885632767,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
217,1,0,3.33220451018,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
218,0,0,4.34758657596,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
219,0,0,2.44234703537,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
